Test ID,Tier,Surface,Module Area,Role,Preconditions,Steps,Input,Expected Result,Expectation Source,Evidence,Invariant Defended,Risk,Actual Result,Status,Evidence Level,Device/Build,Remarks
T1-08,T1,Admin panel,Multilingual,Admin (edit),A template declaring English and Hindi.,Switch to हिन्दी. Then render a proof and open the produced PDF.,—,"On screen AND in the PDF, Devanagari shows joined conjuncts and correctly placed matras — not boxes, not broken clusters.",Implementation-derived,"Doc_renderer useOTL 0xFF, Lohit per script; CON-MULTILINGUAL",I6,"Automated checks prove ink on the page, not that it is READABLE",,NOT TESTED,,,
T1-09,T1,Admin panel,Asset upload,Admin (edit),A PNG school crest on disk.,Upload it as an image object. Then upload the exact same file again.,the same PNG twice,It appears both times. The second upload does not create a duplicate stored file.,Implementation-derived,upload_asset() names the file by its own content hash,—,,,NOT TESTED,,,
T2-01,T2,Admin panel,Upload validation,Admin (edit),A .txt file renamed to crest.png.,Attempt to upload it as an image.,crest.png (really text),"REFUSED, naming the real detected type. Not accepted, not silently ignored.",Implementation-derived,"upload_asset(): finfo + getimagesize, extension never trusted",I10,A .png that is really a script in a web-served directory is an RCE path,,NOT TESTED,,,
T2-02,T2,Admin panel,Upload boundary,Admin (edit),An image larger than 4 MB.,Attempt to upload it.,>4MB image,Refused with a stated size limit.,Implementation-derived,ASSET_MAX_BYTES = 4194304,—,,,NOT TESTED,,,
T2-03,T2,Admin panel,Overflow gate,Admin (edit),A template on A5 paper with a long text field.,"Set the sample to p95, fill a field far past its capacity hint, then render a proof.",very long text,The proof REFUSES with an overflow error. The text is never silently clipped in the PDF.,Implementation-derived,assertFits()/overflowFindings() measure the real rendered block,I7,Silent truncation on a legal document,,NOT TESTED,,,
T2-04,T2,Admin panel,Fail-closed field,Admin (edit),A template with a required merge field bound.,Render a proof with a sample that cannot resolve that field.,—,It fails with a named field. A blank is never printed into a statutory field.,Implementation-derived,Doc_serializer throws; CON-FAIL_CLOSED,I6,,,NOT TESTED,,,
T2-05,T2,Admin panel,Double submission,Admin (edit),A proofable template.,Click 'Render proof' twice in quick succession.,—,"The second click does nothing — the button is disabled while the first runs. Only one proof result is shown, and it is the one you watched.",Implementation-derived,proofOnServer() disables #proofRun for the duration,—,"Two renders, the later overwriting the earlier's hash",,NOT TESTED,,,
T2-06,T2,Admin panel,Unsaved-work guard,Admin (edit),A template with an edit made in the last second.,Close the tab immediately after typing.,—,The browser warns before leaving.,Implementation-derived,beforeunload guard while S.dirty,I5,The debounce window is where the screen is ahead of the server,,NOT TESTED,,,
T2-07,T2,Admin panel,Validation authority,Admin (edit),A template missing a REQUIRED contract field.,Attempt to publish. Then bypass the UI: POST directly to /doc_templates/publish.,templateId,Both refused. The server does not rely on the client's validation.,Implementation-derived,validate() server-side; publish() gates independently,I12,A constraint enforced only in the client is not enforced,,NOT TESTED,,,
T2-08,T2,Admin panel,Session expiry,Admin (edit),The designer open with unsaved changes.,"Let the session expire (or clear the session cookie), then make an edit and wait for autosave.",—,The failure is reported to you. It does not appear to save. You are not left believing your work is stored.,Implementation-derived,api() throws on a non-2xx; apiFail() toasts,I11,,,NOT TESTED,,,
T2-09,T2,Admin panel,Empty state,Admin (view),A school with NO templates for a document type.,Open that document type.,—,"A clear empty state explaining that a template must be designed, published and activated before anything can be issued. Not a blank page, not a spinner.",Requirement-derived,paintGallery() empty branch,—,,,NOT TESTED,,,
T2-10,T2,Admin panel,Large library,Admin (view),A school with many templates (30+ if you can arrange it).,Open Certificates and the gallery for the busiest type.,—,The list renders in reasonable time and remains usable.,Requirement-derived,get_templates() returns all rows for the school with no pagination,—,No pagination exists on the template list,,NOT TESTED,,,
T3-01,T3,Admin panel,Responsive,Admin (edit),The designer open.,"Narrow the window to a laptop width, then to a tablet width.",—,No horizontal page scroll. Panels and dialogs remain reachable and usable.,Requirement-derived,UX_SPEC; .zxdt is scoped CSS,—,The .att-grid collision is the precedent for utility-class leakage,,NOT TESTED,,,
T3-02,T3,Admin panel,Dialog fit,Admin (manage),A short viewport (or a laptop in landscape).,Open the publish dialog and the proof dialog.,—,Both fit. Content scrolls inside the dialog; the action buttons stay reachable without scrolling the page.,Requirement-derived,Recurring clipping bug class in this codebase,—,,,NOT TESTED,,,
T3-03,T3,Admin panel,Undo granularity,Admin (edit),A template with a text object.,"Type a whole word, then press undo ONCE.",—,The entire typing burst is undone as one entry — not one character per undo.,Implementation-derived,blur pushes one undo entry per burst; input does not,—,,,NOT TESTED,,,
T3-04,T3,Admin panel,Terminology,Admin (manage),—,Read the publish dialog and the activation dialog as if you had never seen this module.,—,It is unambiguous that publishing freezes a version and activating is what makes it print.,Requirement-derived,UX_SPEC,—,The distinction is the module's central concept,,NOT TESTED,,,
T3-05,T3,Parent app,Certificates today,Parent,A parent account on the Parent app.,Look for any way to obtain a certificate or document for your child.,—,"There is none, other than raising a Support Desk ticket under 'Certificates & Documents'. Confirms the module does not reach this surface.",Implementation-derived,"SupportFirestoreRepository.kt:80,508; no Documents route in NavGraph.kt:122-213",—,Documents the pre-issuance baseline,,NOT TESTED,,,
T0-13,T0,Admin panel,Tenant isolation,"Admin (manage), school 1","Two schools. A template id belonging to school 2 (ids are {schoolId}_TPL####, numbered from TPL0001).","From the console POST that id to /doc_templates/save, then /publish, then /activate, then /archive, then /save_block.",another school's templateId,"All five refused. School 2's template is byte-for-byte unchanged, still active, still published. The refusal message is identical to the one for a NON-EXISTENT id.",Implementation-derived,Doc_template_service::head() tenant check added 2026-09-02; identical-message test,I8,P0. Was exploitable: activating another school's template changes what they legally issue,,NOT TESTED,,,Re-test of a fixed P0. The identical-message half matters — a different message is an enumeration oracle
T0-14,T0,Admin panel,Data exposure,"Anyone, NOT signed in","A template that has been proofed at least once. Note its id, version and language.",Sign out entirely (or use a private window). Request https://<host>/uploads/<schoolId>/doctemplates/_proofs/<schoolId>_TPL####_v1_en.pdf,the constructed URL,403 or 404. The PDF does NOT download.,Implementation-derived,uploads/.htaccess denies .pdf; Apache serves static files before CI is reached,—,"P0. A rendered certificate carries the school's letterhead, crest and signature graphics",,NOT TESTED,,,"MUST BE RUN ON THE SERVER, not localhost: it only holds if AllowOverride permits .htaccess. See 07-open-questions Q7"
T0-15,T0,Admin panel,Tenant isolation,"Admin (edit), school 1",A file you know the path of under another school's uploads directory.,"Set an image object's src to a relative path reaching that file, then render a proof.",uploads/<other school>/<something>,The proof is REFUSED with an image-source error. The other school's file is not embedded.,Implementation-derived,Doc_renderer no longer seeds FCPATH.'uploads' as a default image root,I9,P1. Compounded T0-14 — the embedded file left in a downloadable PDF,,NOT TESTED,,,
T0-16,T0,Admin panel,Legacy collision,Admin (manage),An account with Certificates: manage.,Open the sidebar Certificates menu (Dashboard/Templates/Generate/Issued) and generate one certificate. Then open /doc_templates.,—,"⚑ CONTESTED. Candidate A: both systems are reachable and that is accepted for now. Candidate B: the legacy generator must be hidden or retired before the new engine is exposed, since one RBAC key grants both.",Implementation-derived,Certificates.php live and sidebar-linked (header.php:662-670); Doc_templates reuses the same key,—,P1. The legacy counter is confirmed read-increment-write and mints duplicate numbers under concurrency,,NOT TESTED,,,
T0-17,T0,Admin panel,Numbering,Admin (manage),"The legacy Certificates → Generate screen, and two browsers.",Generate a certificate in both browsers as close to simultaneously as possible. Compare the two certificate numbers.,—,⚑ CONTESTED. Expected by design: they should differ. Expected from the code: they may be IDENTICAL — the counter is a plain RTDB read-then-set whose own comment says 'best-effort atomicity'.,Implementation-derived,Certificates.php:442-450,—,"P1, pre-existing and outside the new engine — but it is the counter the Issuance Engine must NOT copy",,NOT TESTED,,,Documents the baseline the new engine replaces
